year,recruitment_low,Recruitment,recruitment_high,SSB_low,SSB,SSB_high,total_catch,F_low,F,F_high

1947,17476000,30621200,53654000,3700423,5043436,6873875,581760,0.095,0.134,0.188
1948,17477400,29070900,48355000,3186470,4305462,5817410,502100,0.087,0.120,0.167
1949,14738900,24273500,39976000,2921865,3908648,5228690,508500,0.107,0.146,0.20
1950,21536100,34775800,56155100,2797974,3675771,4828956,491700,0.115,0.154,0.21
1951,21030300,33693400,53981500,2509011,3256018,4225431,600400,0.157,0.21,0.27
1952,21140200,33632900,53508000,2391083,3081452,3971148,664400,0.175,0.23,0.30
1953,24836200,38329400,59153500,2223326,2861065,3681733,698500,0.187,0.24,0.31
1954,23202100,35691700,54904300,2019253,2615097,3386763,762900,0.22,0.29,0.38
1955,19929300,30473200,46595700,2036611,2627773,3390530,806400,0.20,0.26,0.34
1956,14647500,22419500,34315500,1970803,2538717,3270284,675200,0.200,0.26,0.33
1957,33894800,52353400,80864500,1787185,2303462,2968879,682900,0.22,0.28,0.36
1958,14533200,22070700,33517500,1518600,1956200,2519898,670500,0.199,0.26,0.33
1959,16308300,25456400,39736200,2219480,2848808,3656580,784500,0.24,0.31,0.39
1960,7127880,11005700,16993300,1920044,2457492,3145381,696200,0.198,0.25,0.32
1961,31360400,48261900,74272500,1957178,2471470,3120903,696700,0.22,0.28,0.35
1962,16813000,25396100,38360800,1350984,1726645,2206765,627800,0.25,0.32,0.41
1963,20569900,30919300,46475800,2203017,2738677,3404580,716000,0.155,0.191,0.24
1964,20927900,31252500,46670700,2065136,2486856,2994695,871200,0.25,0.30,0.36
1965,10349000,15467300,23117000,1664765,1970172,2331607,1168800,0.45,0.54,0.63
1966,11232300,16690300,24800400,1342498,1576884,1852191,895500,0.43,0.50,0.58
1967,15615600,23323600,34836400,819132,951918,1106230,695500,0.60,0.70,0.80
1968,13565000,20084900,29738500,445941,519484,605156,717800,0.96,1.09,1.23
1969,7647020,11480500,17235600,390681,474781,576985,546700,0.78,0.89,1.02
1970,13430400,20166500,30281100,372915,453541,551598,563100,0.85,0.97,1.10
1971,10611500,15749200,23374500,236464,285369,344388,520100,1.27,1.43,1.61
1972,7752020,11593500,17338500,270447,326826,394957,497500,0.54,0.62,0.72
1973,4202670,6260830,9326920,232364,277562,331550,484000,0.84,0.95,1.08
1974,6619140,10018900,15164800,160618,190734,226496,275100,0.80,0.91,1.04
1975,1519170,2313980,3524630,86989,104811,126284,312800,1.04,1.20,1.39
1976,1911120,3004560,4723610,108716,142578,186987,174800,0.70,0.88,1.12
1977,2427780,3915010,6313300,79624,108813,148703,46000,0.25,0.34,0.46
1978,2307770,3771310,6163010,100017,135431,183384,11000,0.147,0.23,0.37
1979,4426290,6965670,10961900,141696,183613,237930,25100,0.120,0.192,0.31
1980,7592590,11231500,16614500,165684,206352,257001,70764,0.134,0.169,0.21
1981,16686600,24635900,36372100,213933,265559,329643,174879,0.21,0.26,0.32
1982,28401000,41822400,61586500,307175,376610,461741,275079,0.159,0.195,0.24
1983,28783700,41831000,60792400,442339,538518,655610,387202,0.23,0.28,0.33
1984,27689100,40185500,58321600,725176,884344,1078447,428631,0.30,0.36,0.43
1985,32936100,47896200,69651400,806497,974543,1177604,613780,0.39,0.46,0.55
1986,38501300,56160300,81918600,843201,1012673,1216205,671488,0.36,0.43,0.51
1987,34577100,50394200,73446700,992885,1191258,1429264,792058,0.34,0.41,0.48
1988,21474200,31174700,45257100,1263534,1509394,1803093,887686,0.33,0.39,0.46
1989,17814200,25843700,37492300,1361768,1583265,1840790,787899,0.32,0.38,0.44
1990,16066100,23394600,34066100,1488272,1724840,1999012,645229,0.25,0.29,0.35
1991,17537200,25487100,37040800,1333949,1539063,1775716,658008,0.27,0.32,0.37
1992,32190300,45139600,63298100,1008792,1167241,1350577,716799,0.32,0.38,0.44
1993,32695100,45885200,64396500,708561,828560,968883,671397,0.38,0.44,0.52
1994,25270100,35615900,50197500,753153,881590,1031930,568234,0.37,0.44,0.52
1995,27667600,39223400,55605800,767439,905373,1068098,579371,0.34,0.41,0.49
1996,23541000,33239200,46932700,899872,1061422,1251974,275098,0.168,0.20,0.24
1997,17841700,25251500,35738500,1051330,1234946,1450630,264313,0.158,0.189,0.23
1998,12117500,16900500,23571500,1225917,1426692,1660348,391628,0.191,0.23,0.27
1999,35004800,48704100,67764700,1299878,1512251,1759322,363163,0.175,0.21,0.25
2000,25498200,35316300,48914900,1326852,1540798,1789241,388157,0.181,0.22,0.26
2001,43179600,60379100,84429600,1649409,1915648,2224862,374065,0.154,0.183,0.22
2002,22268300,30988500,43123300,2043542,2375250,2760800,394709,0.144,0.171,0.20
2003,12393200,17195900,23859900,2034544,2348556,2711032,482281,0.166,0.197,0.23
2004,14565500,20195600,28002100,2008372,2313239,2664384,587698,0.21,0.25,0.29
2005,12619000,17414300,24031900,1809378,2095051,2425826,663813,0.25,0.29,0.35
2006,12937000,17914400,24806900,1476980,1707215,1973340,514597,0.21,0.25,0.30
2007,15161400,21111200,29395800,1170653,1357448,1574049,406482,0.192,0.23,0.27
2008,13884300,19373900,27034100,1245136,1442678,1671561,257870,0.116,0.139,0.165
2009,21729400,30298600,42247000,1540973,1788991,2076926,168443,0.061,0.073,0.087
2010,16952400,23568100,32765400,1634761,1901356,2211428,187611,0.066,0.079,0.094
2011,15234300,21112100,29257700,1953340,2244944,2580080,226478,0.086,0.102,0.120
2012,14669300,20330000,28175100,1997130,2294310,2635713,434710,0.155,0.184,0.22
2013,19264400,26882400,37512800,1829969,2098364,2406124,511416,0.184,0.22,0.26
2014,29046600,40757600,57190300,1799681,2065880,2371454,517356,0.178,0.21,0.25
2015,8328380,11658800,16320900,1661555,1912355,2201010,494099,0.183,0.22,0.26
2016,14611800,20260800,28093600,1895295,2195134,2542407,563610,0.199,0.24,0.28
2017,9082440,12665500,17662000,1758061,2043992,2376426,498437,0.166,0.197,0.23
2018,16342500,22695800,31519200,1575385,1833544,2134007,603536,0.189,0.22,0.27
2019,14859100,20661000,28728200,1369015,1587379,1840572,442138,0.160,0.190,0.23
2020,16630300,23073500,32013100,1318877,1525521,1764541,426900,0.163,0.194,0.23
2021,11324400,15893200,22305200,1263450,1462333,1692522,365356,0.157,0.186,0.22
2022,16736200,24686000,36412100,1440711,1675352,1948207,462247,0.186,0.22,0.26
2023,7239970,12056100,20075900,1272183,1519404,1814669,419767,0.189,0.23,0.28
2024,8108940,15849900,30980600,,1386370,,,,
