"","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"LAI-ORSH",0.719994348203445,0.620972345582102,0.645662990708287,0.743606555870487,0.673069789483825,0.637501858016568,0.683049534720707,0.756832072846534,0.721252317632165,0.623897026111692,0.461608473213754,0.411738266770312,0.433833135377005,0.47444112270405,0.464619379743401,0.421203818833601,0.454892602092596,0.397954952788729,0.248851376742352,0.080924627158941,0.0968174004010901,0.101498392776831,0.337614467559726,0.694175214301731,0.788667688746067,0.794231527531707,0.828098084346357,0.829799491237951,0.738070346807286,0.622664782804438,0.449473567671959,0.375924137813401,0.36419551492445,0.343059374122547,0.290506216305826,0.298214570477177,0.256753230237725,0.252286276600736,0.280473361402335,0.302176778734832,0.312384868497258,0.291278941255978,0.273660052733032,0.209142453785473,0.149025113517091,0.092341774958279,0.150547152138625,0.193050367912924,0.230712890415019,0.233277989700045,0.23800907700847,0.213506859605001,0.213506859605001
"LAI-BUN",0.00595469657718216,0.0495062928036374,0.0570784046232959,0.0150808393953049,0.047743978401333,0.0684876941721064,0.0300243758507098,0.00733378460412955,0.0100843172090413,0.0779179844395353,0.261317589770382,0.274030600189433,0.231899450007405,0.197977551416651,0.192239506836757,0.253710769076877,0.225179939044311,0.265330633739538,0.471192617301332,0.80767899392051,0.762574249670455,0.788360626958132,0.512268208041676,0.107930645490378,0.030020491279762,0.044291267704519,0.0212558542658103,0.0110236264140269,0.024872488045628,0.0640635357684942,0.126068324832194,0.155173281309833,0.125514365263794,0.08855358345124,0.120658272185202,0.105297109491712,0.156157306202233,0.161661449087265,0.200582455649695,0.246998659092614,0.33994050783844,0.341776604470478,0.330761569793134,0.339530148380487,0.38482514912413,0.50962881989592,0.304700163446306,0.227006135807238,0.171215109338057,0.179661870894698,0.126873388546593,0.204957520210002,0.204957520210002
"LAI-CNS",0.270678764627656,0.324279604407096,0.292295437857916,0.236194530465234,0.269999372924886,0.273393000348176,0.239763054592,0.174238136151651,0.185706454852647,0.208124923102395,0.214542769962421,0.26194987655482,0.281629914649274,0.280596508551537,0.284903063725129,0.256470857013956,0.211692811856226,0.200162737304027,0.1362010986559,0.038257990014381,0.0435051504098921,0.0362180767571213,0.0559451453382624,0.0668950214940776,0.0513733269718087,0.0450687287575849,0.046659254016001,0.0592225940820067,0.100026921652068,0.157331651621365,0.198843440278193,0.199984635364974,0.202753814961651,0.183678682471051,0.163360519015292,0.18077213046007,0.16960468049602,0.167129976601198,0.180043917088843,0.15936271371583,0.170436999976048,0.168641282284907,0.184832583742449,0.182856983827743,0.169939856010515,0.138017609423499,0.187533672291831,0.191160983707406,0.172627468707332,0.145779859774104,0.146986835406066,0.1375358173966,0.1375358173966
"LAI-SNS",0.00337219059171615,0.00524175720716497,0.00496316681050173,0.00511807426897455,0.00918685918995603,0.0206174474631492,0.0471630348365833,0.0615960063976857,0.0829569103061468,0.0900600663463781,0.0625311670534431,0.0522812564854352,0.0526374999663155,0.0469848173277626,0.0582380496947124,0.0686145550755657,0.108234647006867,0.136551676167706,0.143754907300416,0.0731383889061679,0.0971031995185623,0.0739229035079151,0.094172179060335,0.130999118713814,0.129938493002362,0.116408476006189,0.103986807371831,0.0999542882660152,0.137030243495018,0.155940029805704,0.225614667217655,0.268917945511792,0.307536304850104,0.384708359955162,0.42547499249368,0.415716189571041,0.417484783064023,0.418922297710801,0.338900265859127,0.291461848456723,0.177237623688254,0.198303171988637,0.210745793731385,0.268470414006297,0.296209881348264,0.260011795722302,0.357219012123237,0.388782512572433,0.425444531539592,0.441280279631153,0.48813069903887,0.443999802788397,0.443999802788397
