accepted_id,aphia_id,name_cpr,name_worms,DRI
10624,149152,Pseudo-nitzschia seriata complex,Pseudo-nitzschia seriata,1958
10625,177604,Trichodesmium spp.,Trichodesmium,1958
10626,149060,Podosira stelligera,Podosira stelligera,1974
10629,163344,Pseudosolenia calcar-avis,Pseudosolenia calcar-avis,1960
10630,163241,Guinardia cylindrus,Guinardia cylindrus,1965
10631,149112,Guinardia delicatula,Guinardia delicatula,1958
10632,149310,Dactyliosolen fragilissimus,Dactyliosolen fragilissimus,1958
10633,345491,Neocalyptrella robusta,Neocalyptrella robusta,1980
10634,149113,Guinardia striata,Guinardia striata,1958
10636,149647,Detonula pumila,Detonula pumila,1959
10637,149145,Meuniera membranacea,Meuniera membranacea,1974
10638,157440,Helicotheca tamesis,Helicotheca tamesis,1958
10641,149135,Lauderia annulata,Lauderia annulata,1958
10668,19542,Dinophyceae unidentified,Dinophyceae,2010
10680,163728,Bacillaria paxillifera,Vibrio paxillifer,1958
10681,179596,Corethron hystrix,Corethron hystrix,1958
10682,613575,Proboscia curvirostris,Proboscia curvirostris,1958
10683,231887,Proboscia indica,Rhizosolenia indica,1958
10684,149116,Rhizosolenia imbricata,Rhizosolenia imbricata,1958
10745,494057,Ceratium spp. unidentified,Tripos,2014
10754,149151,Nitzschia/Pseudo-nitzschia spp. (unidentified),Pseudo-nitzschia,1958
10755,447730,Bellerochea horologicalis,Bellerochea horologicalis,2020
10757,231788,Karenia-type cyst,Karenia,2021
10759,830,brown algae sporophyte,Phaeophyceae,2021
